label,text
0,  As of March   th          the booklet had been downloaded over        times and counting    
0,  In order to help increase the booklets downloads   it would be great if all Stormfronters who had YouTube accounts   could display the following text in the description boxes of their uploaded YouTube videos    
0,    Simply copy and paste the following text into your YouTube videos description boxes     
1,  Click below for a FREE download of a colorfully illustrated     page e book on the Zionist engineered INTENTIONAL destruction of Western civilization    
0,  Click on the    DOWNLOAD        MB      green banner link    
0,  Booklet updated on Feb    th           
0,    Now with over        Downloads     
0,  PDF file   http   www mediafire com download  p p goadvvqvsf WNDebateBooklet         pdfMSWordfile http   www mediafire com download psezkkk d a wt  WNDebateBooklet           docx Watch the    hour video version of    The Zionist Attack on Western Civilization      http   trutube tv video       The Zionist Attack on Western Civilization Pages      Part   of   Banned from YouTubeNotepadPromotionalYouTubeComment http   www mediafire com download   fg ft  lyfruz Booklet   White   YT   Comment     Hyperlinked    txt http   www mediafire com download zcn wozjbwnezms Booklet White YT Comment    Hyperlinked Back Up    D txt http   www mediafire com download  uyudq yuxu dur Booklet Comment    Firefox    txt minutepromotionalBOOKLETvideo http   www youtube com watch   v      hg   ALpM Are you interested in helping spread the booklet download link across the world    
0,  Then why not simply copy this text     links   and paste it into the description box of your YouTube videos    
0,  Thank you in advance      Download the youtube    description box    info text file below   http   www mediafire com download dqhn czprr  o   Booklet Description Box   Info txt  
1,  She may or may not be a Jew but she  s certainly stupid   she seems to think the Blacks wo n t kill her alongside every other White they can get their dirty hands on   what a muppet    
0,  Thank you for the info  i will deffinetly look into them    
0,  I hope there is room for one more as i am very excited about this    
0,  I just came across this piece of garbage    
0,  Comments say she is from SA    
0,  Warning   Graphic    
0,  Die Antwoord      Cookie Thumper      Official Video     YouTube  
0,  The whites are more in the range of     million    
0,  I believe this can be higher since I  ve read reports that especially whites in the Free State were not counted in the latest census    
0,  Thank you for posting your story    
0,  I think you should write a book as well    
1,  I  ve always considered teaching as one of the professions I would like to get into   but not in a neighbourhood like that     never  kids like that disgust me    
1,  And the sad thing is the white students at those schools will act like that too    
0,  I guess I  ll just stick to homeschooling my kids   when and if I have them      
0,  Randy Blazak is an    expert    all right  he teaches    Sociology of Star Trek      a credited class students actually pay for    
0,  No wonder young people ca n t get jobs    
0,  They take underwater basket weaving courses and they have no worthwhile skills on account of angry still my favorite comment    
0,  Old Tarzan movies      Zulu      and    King Kong    have many such images    
0,  National Geographic magazines in the     s and early     s are replete with color photos of African villagers    
0,  Dr  Albert Schweitzer  s two hour documentary from      was shown in movie theaters everywhere    
0,  I think VHS tapes are available at Amazon    
1,  Their gods often had pale skin and blue eyes but I suppose literacy is n t valued highly by their cultural intelligencia    
0,  When the girl starts talking the guy in the middles lips start moving    
0,  He was checking her lines   bad actors ca n t help themselves from doing this    
0,  This whole situation starts to become really bizarre    
0,  I was a Right Sector supporter but it starts to sound as if they are in fact just Israeli agents         
0,  I do n t know who to support anymore                   
0,  I ve read many post on here saying Israel gives training to US law enforcement    
0,  I remember after the Boston Marathon bombings watching Fox News and they said law enforcement was consulting Israel for advice    
0,  I believe his dog would like to get as far away from him as possible    
0,  Free North Carolina   Peterson  s particulars VikingInMe  
0,  So according to section C   what few jobs there are in our areas will be given to these people as well Thanks for posting this    
1,  Greece need a man like Adolf Hitler and now is the perfect time to start a national political movement to free Your country from the zionist bankers  
0,  The image below is for the First Week of March       freeman in court   judge bows to Sovereign   Canada YouTube   freeman in court   judge bows to Sovereign   Canada  
0,  I do n t watch T V  or Hollywood movies    
0,  I know of Chris Rock and subsequently have hated him for a long time    
1,  He is a pathetic little chimp    
0,  Declaring war on the innocent White Population of any nation could easily be justified by anyone who was not a White Nationalist    
0,  Seekers of Truth   Start out by watching the    Benjamin Freedman Speaks    video   youtube    
0,  com watch   v   hXBcyX  jGM then move on to watching      The Loss of Liberty    film   youtube    
0,  com watch   v   kBD Gm VoDM Then watch   min  Obama at AIPAC   youtube    
0,  com watch   v   KrdyCxpB fs And then the entire Myron Fagan video   youtube    
0,  com watch   v    OK ks BSOY For a FREE informative BOOKLET   video on the Zionist engineered INTENTIONAL destruction of White people go to   youtube    
0,  com watch   v   n   eVTSyS   
0,  Note   
0,  Wntube is now  net   not  com   
0,  They have improved the site    
0,  Please contribute and or donate    
0,  http   www wntube net play php   vid          code        
1,  Try El Paso Texas Soo much mudd invasion that the river is the same color as those playing crossing in it    year round    
0,  Welcome to the front lines      
0,  Folk   Faith   Family Hail Victory     
1,  Here is a video of the event that is worth watching just to see a beautiful White lady screaming    scum   scum   scum   f       ing scum        at the muslim filth    
0,  Protesters Clash during Military Parade in Barking  
0,  Does this not show how stupid these folks can be    
