label,text
0,If it goes against the official story then that is Holocaust Denial and she must serve time in modern gulag 
0,I m going to start looking into it  I m tired of being treated like I m less important than this mud on welfare after ive been paying taxes for over 35 years 
0,yes RoadHog i did check into j and g they sound good  im hoping i will find one on the shelf soon tho  the mosin
0,They were talking about this on another thread and the first choices were for Coke and Taco Bell 
1,Most if not all of the whites at my school are complete race traitors
1,For example  if he uses correct English then you say   Hey  you are starting to sound like a white man 
0,This is a video with pictures of old postcards of Gliwice  Gleiwitz  Upper Silesia  at the beginning of the video  and present day pictures of Gliwice  Gleiwitz  at the end of the video 
1,When they sent n iggers to space the space ships started blowing up 
0,Did you see anything other than white faces in that non racially edited video 
0,The fact Whites stood by while he was being attacked by a group of Mestizos is far more disturbing than the attack itself 
1,Turns out its a female negroid assaulting the White woman 
0,my first kiss was a girl that lived down the street from me when i was 10I went to school with her younger sisterHer name was kelseyShe had blonde hair and blue eyesShe was 13We were at the movies and then I figured I d take a chance and try to kiss her and it worked 
0,Oh that reminds me of my high school days in IT lessons making 30 Apple Mac s on Clarisworks simultaneously say  Mr Carey has death breath 
0,It is good to hear your story 
0,Now teachers demand to work just 35 hours a week  and they even want to be allowed to do five of those at home  Mail Online
0,You see through the BS and are using FB for the cause 
0,The only Mexican in town has since moved out and kids can now leave their bicycles in the yard without fear 
0,I figured it would only get worst 
0,Toronto Police Investigating AltRight Posters as a Hate Crime 
0,Guess we Yanks gave them a heluva attitude adjustment at Hiroshima 
0,I hear the jews are looking to open a Holohoax center in Antarctica next year 
0,It is also a breeding ground for Dieversity  and Libturd Indoctronation 
0,It is totally a greek name 
0,In his later life  Shockley was a professor at Stanford and became a staunch advocate of eugenics 
0,They are nothing less than indoctrination centers designed to separate children from their parents and fill their minds with liberal propaganda 
0,THIS is precisely why I dont watch his videos 
0,they have an asian group a black group a mexican group but sadly my request for a white group was denied  is this libral hipocracy or discrimination against a skinhead 
0,When i finish i plan on going to college not sure what career i want at the moment 
0,I just tried to get on the site and itstated Account has been suspended 
0,Ive recently gotten a recommendation for Peaceful Warrior 
0,They fought for their country and what they believed in 
0,I believe if your looking you ll never find true love 
0,There are some slight differences between the two  is one of them geared toward whites in general  and the other toward DutchGermans 
0,Dont get yourself into trouble for something that isntworth it 
